,PLAYER,COLLEGE,CONF,GAMES_PLAYED,GAMES_STARTED,RECORD,CMP,ATT,YDS,TD,INT,RUSH_ATT,RUSH_YDS,RUSH_TD,COLL_CMP,COLL_ATT,COLL_YDS,COLL_TD,COLL_INT,COLL_RUSH_ATT,COLL_RUSH_YDS,COLL_RUSH_TDS
116,Brodie Croyle,Alabama,SEC,18,10,0-10-0,181,319,1669,8,9,10,15,0,488,869,6382,41,22,183,-177,4
117,Brad Smith,Missouri,Big 12,127,24,0-0-0,4,10,51,1,2,134,972,4,818,1454,8644,56,32,779,4193,44
118,Omar Jacobs,Bowling Green,MAC,0,0,0-0-0,0,0,0,0,0,0,0,0,523,811,6938,71,11,153,451,7
119,Reggie McNeal,Texas A&M,Big 12,7,0,0-0-0,0,0,0,0,0,1,8,0,478,875,6992,44,23,411,1889,15
120,Bruce Gradkowski,Toledo,MAC,37,20,6-14-0,375,709,4057,21,24,88,329,0,766,1123,9225,85,27,248,1018,14
121,D.J. Shockley,Georgia,SEC,0,0,0-0-0,0,0,0,0,0,0,0,0,240,443,3555,34,9,154,643,7
122,Alex Smith,Utah,MWC,166,161,94-66-1,3082,4941,34068,193,101,570,2601,15,389,587,5203,47,8,286,1072,15
123,Aaron Rodgers,California,Pac-10,161,154,98-55-1,3474,5358,42006,334,79,557,2838,25,424,665,5469,43,13,160,336,8
124,Jason Campbell,Auburn,SEC,90,79,32-47-0,1519,2518,16771,87,60,240,1204,6,552,854,7299,45,24,249,307,9
125,Charlie Frye,Akron,MAC,26,23,7-16-0,419,677,4154,17,29,72,347,4,913,1436,11049,64,32,375,429,19
126,Andrew Walter,Arizona St.,Pac-10,15,9,2-7-0,174,333,1919,3,16,19,49,0,777,1416,10617,85,36,175,-475,0
127,David Greene,Georgia,SEC,0,0,0-0-0,0,0,0,0,0,0,0,0,849,1440,11528,72,32,204,-258,5
128,Kyle Orton,Purdue,Big Ten,87,82,42-40-0,1613,2712,18037,101,69,126,296,4,786,1336,9337,63,28,271,316,6
129,Stefan Lefors,Louisville,CUSA,0,0,0-0-0,0,0,0,0,0,0,0,0,416,630,5853,38,13,146,756,6
130,Dan Orlovsky,Connecticut,Big East,27,12,2-10-0,298,512,3132,15,13,13,34,0,916,1567,10706,84,51,143,-285,6
131,Derek Anderson,Oregon St.,Pac-10,78,49,20-28-0,909,1674,10878,60,64,102,226,5,768,1515,11249,79,57,182,-533,8
132,James Kilian,Tulsa,WAC,0,0,0-0-0,0,0,0,0,0,0,0,0,410,758,4865,36,30,329,1083,19
133,Matt Cassel,USC,Pac-10,107,81,36-45-0,1573,2672,17463,104,82,267,1011,5,20,33,192,0,1,11,32,0
134,Eli Manning,Mississippi,SEC,228,226,115-111-0,4720,7832,54945,354,236,308,558,6,829,1363,10119,81,35,128,-135,5
135,Philip Rivers,North Carolina St.,ACC,208,204,115-89-0,4436,6872,53766,370,172,349,572,3,1087,1710,13484,95,34,252,96,17
136,Ben Roethlisberger,Miami (OH),MAC,212,210,142-67-1,4505,7010,55010,355,187,462,1346,19,854,1304,10829,84,34,269,246,7
137,J.P. Losman,Tulane,CUSA,45,33,10-23-0,564,952,6271,33,34,105,490,3,570,987,6754,60,27,237,241,10
138,Matt Schaub,Virginia,ACC,147,92,47-45-0,2098,3281,24887,133,90,190,360,4,716,1069,7502,56,26,132,58,5
139,Luke McCown,Louisiana Tech,WAC,62,10,2-8-0,216,356,2370,9,15,34,177,0,1063,1775,12666,87,62,274,65,10
140,Craig Krenzel,Ohio St.,Big Ten,6,5,3-2-0,59,127,718,3,6,18,41,0,328,577,4489,28,21,247,600,6
141,Andy Hall,Delaware,ACC,1,0,0-0-0,0,0,0,0,0,0,0,0,19,43,299,1,2,24,83,1
142,Josh Harris,Bowling Green,MAC,0,0,0-0-0,0,0,0,0,0,0,0,0,627,1028,7503,55,28,596,2473,43
143,Jim Sorgi,Wisconsin,Big Ten,16,0,0-0-0,99,156,929,6,1,31,0,0,288,519,4498,33,21,138,-32,4
144,Jeff Smoker,Michigan St.,Big Ten,0,0,0-0-0,0,0,0,0,0,0,0,0,685,1150,8932,61,39,255,-218,7
145,John Navarre,Michigan,Big Ten,2,1,0-1-0,32,64,342,2,5,0,0,0,744,1327,9014,70,30,144,-241,2
146,Cody Pickett,Washington,Pac-10,6,2,0-2-0,18,45,195,0,4,14,47,0,792,1373,9916,53,42,249,-186,11
147,Matt Mauck,LSU,SEC,2,1,0-1-0,15,27,136,0,1,7,39,0,310,529,3831,37,18,149,345,5
