,PLAYER,COLLEGE,CONF,GAMES_PLAYED,GAMES_STARTED,RECORD,CMP,ATT,YDS,TD,INT,RUSH_ATT,RUSH_YDS,RUSH_TD,COLL_CMP,COLL_ATT,COLL_YDS,COLL_TD,COLL_INT,COLL_RUSH_ATT,COLL_RUSH_YDS,COLL_RUSH_TDS
194,Jarious Jackson,Notre Dame,Ind,5,1,0-1-0,11,22,114,0,1,7,15,0,306,536,4820,34,21,272,957,13
195,Joe Hamilton,Georgia Tech,ACC,1,0,0-0-0,0,0,0,0,0,1,-2,0,629,1020,8882,65,39,501,1758,18
196,Tim Couch,Kentucky,SEC,62,59,22-37-0,1025,1714,11131,64,67,124,556,2,795,1184,8435,74,35,154,-275,4
197,Donovan McNabb,Syracuse,Big East,167,161,98-62-1,3170,5374,37276,234,117,616,3459,29,548,938,8389,77,26,465,1561,19
198,Akili Smith,Oregon,Pac-10,22,17,3-14-0,215,461,2212,5,13,70,371,1,323,571,5148,45,15,171,367,6
199,Daunte Culpepper,Central Florida,Ind,105,100,41-59-0,2016,3199,24153,149,106,514,2652,34,721,1097,9341,72,32,371,1003,19
200,Cade McNown,UCLA,Pac-10,25,15,3-12-0,281,515,3111,16,19,82,486,3,694,1250,10708,68,41,313,577,16
201,Shaun King,Tulane,CUSA,34,24,14-10-0,415,738,4566,27,24,113,454,5,669,1201,8695,72,34,369,1158,20
202,Brock Huard,Washington,Pac-10,8,4,0-4-0,60,107,689,4,2,9,48,0,422,776,5742,51,27,114,-39,3
203,Joe Germaine,Ohio St.,Big Ten,3,0,0-0-0,9,16,136,1,2,3,0,0,439,741,6370,56,20,111,-276,0
204,Aaron Brooks,Virginia,ACC,93,90,38-52-0,1673,2963,20261,123,92,362,1534,13,357,651,5118,33,24,199,547,14
205,Michael Bishop,Kansas St.,Big 12,8,0,0-0-0,3,9,80,1,1,7,-1,0,244,480,4401,36,13,324,1314,23
206,Scott Covington,Miami (FL),Big East,4,1,1-0-0,6,10,30,0,0,2,-4,0,281,497,3862,26,15,80,-245,2
207,Peyton Manning,Tennessee,SEC,266,265,186-79-0,6125,9380,71940,539,251,431,667,18,863,1381,11201,89,33,153,-181,12
208,Ryan Leaf,Washington St.,Pac-10,25,21,4-17-0,317,655,3666,14,36,59,127,0,473,880,7433,59,24,173,-171,14
209,Charlie Batch,East. Michigan,MAC,81,55,25-30-0,908,1604,11085,61,52,172,637,6,579,998,7592,53,31,181,123,5
210,Jonathan Quinn,Middle Tenn. St.,Ind,17,6,1-5-0,117,223,1161,4,7,25,151,1,33,68,379,2,7,18,-92,0
211,Brian Griese,Michigan,Big Ten,93,83,45-38-0,1752,2796,19440,119,99,238,582,5,307,516,3663,27,15,85,-81,4
212,John Dutton,Nevada,Big West,0,0,0-0-0,0,0,0,0,0,0,0,0,447,701,6276,42,12,71,-60,2
213,Matt Hasselbeck,Boston Col.,Big East,209,160,85-75-0,3222,5330,36638,212,153,365,1231,8,390,701,4548,22,26,173,-188,4
214,Moses Moreno,Colorado St.,WAC,9,3,0-3-0,51,103,485,1,2,9,29,0,457,787,6689,49,28,169,-246,4
215,Jim Druckenmiller,Virginia Tech,Big East,6,1,1-0-0,21,52,239,1,4,13,-10,0,313,582,4383,34,18,142,246,0
216,Jake Plummer,Arizona St.,Pac-10,143,136,69-67-0,2484,4350,29253,161,161,428,1853,17,613,1107,8626,64,34,289,-113,5
217,Danny Wuerffel,Florida,SEC,25,10,4-6-0,184,350,2123,12,22,31,189,1,708,1170,10875,114,42,185,-375,8
218,Pat Barnes,California,Pac-10,1,0,0-0-0,0,0,0,0,0,0,0,0,522,912,7047,51,26,171,-358,2
219,Mike Cherry,Murray St.,SEC,2,0,0-0-0,0,1,0,0,0,4,-5,0,21,40,242,1,3,9,-9,0
220,Chuck Clements,Houston,CUSA,1,0,0-0-0,0,0,0,0,0,2,-3,0,683,1192,7112,43,39,92,-219,0
221,Tony Graziani,Oregon,Pac-10,18,5,2-3-0,85,174,999,2,8,16,51,0,360,666,4482,24,18,126,335,5
222,Koy Detmer,Colorado,Big 12,104,8,3-5-0,184,354,1944,10,14,31,30,1,350,594,5390,40,25,76,-31,3
223,Wally Richardson,Penn St.,Big Ten,1,0,0-0-0,1,2,1,0,0,1,0,0,378,692,4419,27,14,81,-237,1
224,Ron McAda,Army,Ind,0,0,0-0-0,0,0,0,0,0,0,0,0,162,297,2333,13,10,358,1778,16
